config_id,variable_set,mode,constraint_mode,epochs,threshold,sparsity_strength,l1_lambda,mean_f1,std_f1,mean_precision,mean_recall,mean_shd,std_shd,mean_edge_count,std_edge_count,mean_violations,mean_runtime,successful_runs,failed_runs,timed_out_runs,success_rate,acceptable,selection_rank
ep20_spcurrent_varsreduced,reduced,constrained,native_constrained,20,0.25,current,0.05,0.43223101372827494,0.08508201969755669,0.4406946826758148,0.4264150943396226,58.6,6.3874877690685254,50.8,6.099180272790762,0.0,22.91386,5,0,0,1.0,True,
ep20_spcurrent_varsreduced,reduced,constrained,native_constrained,20,0.3,current,0.05,0.4530669707837657,0.09153587150541766,0.502155513368138,0.41509433962264153,52.4,6.730527468185536,43.4,5.594640292279746,0.0,22.91386,5,0,0,1.0,True,
ep20_spcurrent_varsreduced,reduced,constrained,native_constrained,20,0.35,current,0.05,0.4688637730251908,0.08291217079558762,0.5575341406585518,0.4075471698113208,48.2,5.019960159204453,38.4,5.727128425310541,0.0,22.91386,5,0,0,1.0,True,
ep20_spcurrent_varsreduced,reduced,unconstrained,unconstrained,20,0.25,current,0.05,0.26857297050459766,0.07951453588524807,0.28973050934322037,0.2528301886792453,73.6,11.326958991715296,47.4,8.080841540334768,3.6,22.78422,5,0,0,1.0,True,
ep20_spcurrent_varsreduced,reduced,unconstrained,unconstrained,20,0.3,current,0.05,0.27010248642073853,0.08140622548756277,0.3202672286314018,0.2339622641509434,67.0,7.905694150420948,38.8,3.2710854467592254,3.2,22.78422,5,0,0,1.0,True,
ep20_spcurrent_varsreduced,reduced,unconstrained,unconstrained,20,0.35,current,0.05,0.26306674889320075,0.09167597552951695,0.3406349206349206,0.21509433962264152,63.4,7.127411872482185,33.2,3.898717737923586,3.0,22.78422,5,0,0,1.0,True,
ep50_spcurrent_varsreduced,reduced,constrained,native_constrained,50,0.25,current,0.05,0.41099385374898023,0.0673590298396914,0.38116350928118553,0.45660377358490567,70.6,14.909728367747013,66.0,14.300349646075091,0.0,57.366600000000005,5,0,0,1.0,True,
ep50_spcurrent_varsreduced,reduced,constrained,native_constrained,50,0.3,current,0.05,0.43324753745451083,0.06456472825787707,0.427078298981284,0.44528301886792454,62.4,11.058933040759403,56.6,9.60728889958036,0.0,57.366600000000005,5,0,0,1.0,True,
ep50_spcurrent_varsreduced,reduced,constrained,native_constrained,50,0.35,current,0.05,0.44401000070594304,0.061342416785944466,0.45527031012545394,0.4377358490566038,58.6,9.555103348473002,52.0,7.905694150420948,0.0,57.366600000000005,5,0,0,1.0,True,
ep50_spcurrent_varsreduced,reduced,unconstrained,unconstrained,50,0.25,current,0.05,0.2894942537940976,0.08390775187149453,0.29544617847138854,0.28679245283018867,75.0,10.8397416943394,52.4,7.700649323271382,4.0,42.73728,5,0,0,1.0,True,
ep50_spcurrent_varsreduced,reduced,unconstrained,unconstrained,50,0.3,current,0.05,0.28256551082836057,0.08718652147377205,0.31360138679059685,0.26037735849056604,70.0,9.848857801796104,44.6,8.414273587185052,3.4,42.73728,5,0,0,1.0,True,
ep50_spcurrent_varsreduced,reduced,unconstrained,unconstrained,50,0.35,current,0.05,0.28519947272918705,0.08698419460446517,0.3314352917554088,0.2528301886792453,66.6,7.76530746332687,40.4,7.231873892705818,3.0,42.73728,5,0,0,1.0,True,
