config_id,dataset,variable_set,mode,constraint_mode,seed,epochs,threshold,sparsity_strength,l1_lambda,backend,status,error_message,runtime_seconds,edge_count,edge_count_true,graph_density,f1_directed,precision,recall,shd,violations,forbidden_constraints_passed,required_constraints_passed,constraint_cells_changed,raw_weights_path,final_adjacency_path
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,42,20,0.25,current,0.05,causica_native,success,,23.0535,57,53,0.07019704433497537,0.2,0.19298245614035087,0.20754716981132076,88,5,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed42_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed42_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.250.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,42,20,0.3,current,0.05,causica_native,success,,23.0535,43,53,0.05295566502463054,0.18749999999999997,0.20930232558139536,0.16981132075471697,78,4,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed42_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed42_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.300.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,42,20,0.35,current,0.05,causica_native,success,,23.0535,36,53,0.04433497536945813,0.20224719101123595,0.25,0.16981132075471697,71,4,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed42_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed42_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.350.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,43,20,0.25,current,0.05,causica_native,success,,22.2082,42,53,0.05172413793103448,0.4,0.4523809523809524,0.3584905660377358,57,5,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed43_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed43_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.250.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,43,20,0.3,current,0.05,causica_native,success,,22.2082,39,53,0.0480295566502463,0.3913043478260869,0.46153846153846156,0.33962264150943394,56,5,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed43_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed43_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.300.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,43,20,0.35,current,0.05,causica_native,success,,22.2082,36,53,0.04433497536945813,0.3820224719101123,0.4722222222222222,0.32075471698113206,55,4,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed43_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed43_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.350.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,44,20,0.25,current,0.05,causica_native,success,,23.3549,48,53,0.059113300492610835,0.2376237623762376,0.25,0.22641509433962265,77,4,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed44_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed44_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.250.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,44,20,0.3,current,0.05,causica_native,success,,23.3549,38,53,0.046798029556650245,0.2637362637362637,0.3157894736842105,0.22641509433962265,67,3,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed44_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed44_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.300.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,44,20,0.35,current,0.05,causica_native,success,,23.3549,36,53,0.04433497536945813,0.2696629213483146,0.3333333333333333,0.22641509433962265,65,3,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed44_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed44_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.350.npy
ep20_spcurrent_varsreduced,synthetic_n2000,reduced,unconstrained,unconstrained,45,20,0.25,current,0.05,causica_native,success,,22.4945,37,53,0.04556650246305419,0.22222222222222224,0.2702702702702703,0.18867924528301888,70,2,0,0,0,C:\Users\User\Desktop\go\outputs\graphs\deci_synthetic_n2000_unconstrained_seed45_ep20_spcurrent_varsreduced_unconstrained_raw_edge_probabilities.csv,C:\Users\User\Desktop\go\outputs\experiments\deci_work\deci_synthetic_n2000_unconstrained_seed45_ep20_spcurrent_varsreduced_unconstrained\ablation_final_thr0.250.npy
